,fromPlaylist,trackName,trackPopularity,trackNumber,isExplicit,artistID,artistName,artistPop,artistGenre,albumName,albumID,albumType,releaseDate,album_nTracks,albumCover,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
20,Who's That Girl,Blend,0,1,False,3lmR0qMiGuoIF9UC54egcG,Aldous Harding,50,ambient folk,Party,1bHFgyItmSogZKb5fWOefI,album,2017,9,https://i.scdn.co/image/ab67616d0000b273e8501671ce68cb7046b57346,0.878,0.308,1,-15.335,0,0.0798,0.736,0.241,0.092,0.218,126.107,audio_features,3Gl3sE6ZhmXOkJhrumZTVS,spotify:track:3Gl3sE6ZhmXOkJhrumZTVS,https://api.spotify.com/v1/tracks/3Gl3sE6ZhmXOkJhrumZTVS,https://api.spotify.com/v1/audio-analysis/3Gl3sE6ZhmXOkJhrumZTVS,149133,4
21,Who's That Girl,Imagining My Man,0,1,False,3lmR0qMiGuoIF9UC54egcG,Aldous Harding,50,ambient folk,Party,1bHFgyItmSogZKb5fWOefI,album,2017,9,https://i.scdn.co/image/ab67616d0000b273e8501671ce68cb7046b57346,0.575,0.182,0,-13.993,1,0.028,0.965,0.0139,0.114,0.287,98.062,audio_features,4Mj6K0nOrLJjUckP2tJFU9,spotify:track:4Mj6K0nOrLJjUckP2tJFU9,https://api.spotify.com/v1/tracks/4Mj6K0nOrLJjUckP2tJFU9,https://api.spotify.com/v1/audio-analysis/4Mj6K0nOrLJjUckP2tJFU9,351310,4
22,Who's That Girl,Party,0,1,False,3lmR0qMiGuoIF9UC54egcG,Aldous Harding,50,ambient folk,Party,1bHFgyItmSogZKb5fWOefI,album,2017,9,https://i.scdn.co/image/ab67616d0000b273e8501671ce68cb7046b57346,0.321,0.0874,3,-12.375,1,0.0336,0.909,0.000349,0.111,0.111,99.267,audio_features,3xFalSffZF8IIGVkJopJU2,spotify:track:3xFalSffZF8IIGVkJopJU2,https://api.spotify.com/v1/tracks/3xFalSffZF8IIGVkJopJU2,https://api.spotify.com/v1/audio-analysis/3xFalSffZF8IIGVkJopJU2,343680,4
23,Who's That Girl,Horizon,0,1,False,3lmR0qMiGuoIF9UC54egcG,Aldous Harding,50,ambient folk,Party,1bHFgyItmSogZKb5fWOefI,album,2017,9,https://i.scdn.co/image/ab67616d0000b273e8501671ce68cb7046b57346,0.427,0.11,8,-10.486,1,0.0392,0.883,0.0,0.113,0.229,58.555,audio_features,1I55KLlJlGi3fyiA650Oxz,spotify:track:1I55KLlJlGi3fyiA650Oxz,https://api.spotify.com/v1/tracks/1I55KLlJlGi3fyiA650Oxz,https://api.spotify.com/v1/audio-analysis/1I55KLlJlGi3fyiA650Oxz,249147,4
24,Who's That Girl,Rid Of Me,49,1,False,12VaqyEhgwDRuFfEqbnrpz,PJ Harvey,58,alternative rock,Rid Of Me,2fDJpBJhtloxzUENHlU9JB,album,1993,14,https://i.scdn.co/image/ab67616d0000b2735950e19534bed4e25b6048f1,0.715,0.0885,9,-20.682,0,0.0521,0.00485,0.00694,0.155,0.544,125.383,audio_features,3m2Zd230K68bC4Qe961d9p,spotify:track:3m2Zd230K68bC4Qe961d9p,https://api.spotify.com/v1/tracks/3m2Zd230K68bC4Qe961d9p,https://api.spotify.com/v1/audio-analysis/3m2Zd230K68bC4Qe961d9p,268827,4
25,Who's That Girl,Rub 'Til It Bleeds,37,1,False,12VaqyEhgwDRuFfEqbnrpz,PJ Harvey,58,alternative rock,Rid Of Me,2fDJpBJhtloxzUENHlU9JB,album,1993,14,https://i.scdn.co/image/ab67616d0000b2735950e19534bed4e25b6048f1,0.338,0.425,0,-15.989,1,0.0357,0.0481,0.123,0.305,0.51,150.714,audio_features,2nZdhNwhvoaUIDqPG9rtz1,spotify:track:2nZdhNwhvoaUIDqPG9rtz1,https://api.spotify.com/v1/tracks/2nZdhNwhvoaUIDqPG9rtz1,https://api.spotify.com/v1/audio-analysis/2nZdhNwhvoaUIDqPG9rtz1,303667,3
26,Who's That Girl,50ft Queenie,40,1,False,12VaqyEhgwDRuFfEqbnrpz,PJ Harvey,58,alternative rock,Rid Of Me,2fDJpBJhtloxzUENHlU9JB,album,1993,14,https://i.scdn.co/image/ab67616d0000b2735950e19534bed4e25b6048f1,0.424,0.65,7,-16.188,1,0.0675,0.000523,0.853,0.111,0.753,126.207,audio_features,3fJprjhRxTVtOp18EHdNfu,spotify:track:3fJprjhRxTVtOp18EHdNfu,https://api.spotify.com/v1/tracks/3fJprjhRxTVtOp18EHdNfu,https://api.spotify.com/v1/audio-analysis/3fJprjhRxTVtOp18EHdNfu,143667,4
27,Who's That Girl,Dry,33,1,False,12VaqyEhgwDRuFfEqbnrpz,PJ Harvey,58,alternative rock,Rid Of Me,2fDJpBJhtloxzUENHlU9JB,album,1993,14,https://i.scdn.co/image/ab67616d0000b2735950e19534bed4e25b6048f1,0.445,0.456,2,-15.454,1,0.0308,0.000861,0.000905,0.15,0.471,99.871,audio_features,2fhwvSptDeBj8Yw9FufioZ,spotify:track:2fhwvSptDeBj8Yw9FufioZ,https://api.spotify.com/v1/tracks/2fhwvSptDeBj8Yw9FufioZ,https://api.spotify.com/v1/audio-analysis/2fhwvSptDeBj8Yw9FufioZ,203560,4
28,Who's That Girl,Headshots,44,1,False,3X0tJzVYoWlfjLYI0Ridsw,Suzanne Vega,56,lilith,Nine Objects Of Desire,6yH1CnRs34R23OjFOdPlCI,album,1996,12,https://i.scdn.co/image/ab67616d0000b273607218d993b621e0dd40a5bb,0.649,0.395,0,-11.992,1,0.0288,0.0867,0.771,0.0908,0.601,94.241,audio_features,3wScjEbCUk4hFUA18ky4Wm,spotify:track:3wScjEbCUk4hFUA18ky4Wm,https://api.spotify.com/v1/tracks/3wScjEbCUk4hFUA18ky4Wm,https://api.spotify.com/v1/audio-analysis/3wScjEbCUk4hFUA18ky4Wm,187040,4
29,Who's That Girl,Caramel,54,1,False,3X0tJzVYoWlfjLYI0Ridsw,Suzanne Vega,56,lilith,Nine Objects Of Desire,6yH1CnRs34R23OjFOdPlCI,album,1996,12,https://i.scdn.co/image/ab67616d0000b273607218d993b621e0dd40a5bb,0.665,0.157,7,-16.024,1,0.0363,0.849,0.0378,0.0989,0.338,120.081,audio_features,4Rac570nzZ1DcxRKbTB1Nr,spotify:track:4Rac570nzZ1DcxRKbTB1Nr,https://api.spotify.com/v1/tracks/4Rac570nzZ1DcxRKbTB1Nr,https://api.spotify.com/v1/audio-analysis/4Rac570nzZ1DcxRKbTB1Nr,173173,4
